seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,wholesaler_policy,label,shock_profile_counts,financiers,total_initial_capital,total_final_capital,mean_final_capital,return_pct,total_loans,loans_per_wholesaler,total_defaults,default_count_rate,default_amount_to_initial_capital_rate,default_amount_to_issued_rate,avg_capital_utilization,max_capital_utilization,avg_final_utilization,max_final_utilization,simulation_elapsed_seconds
831197,low_default,1000000.0,1000000.0,1.0,100,fl_rl,FedAvg (federated),"{'none': 87, 'medium': 10, 'high': 3}",3,3000000.0,7090271.465446806,2363423.821815602,136.3423821815602,2955,29.55,159,0.05380710659898477,0.09016487703596793,0.0031532709236152595,0.9751518414055624,0.9999979138352058,0.0,0.0,33.97942360000161
831197,medium_default,1000000.0,1000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 77, 'medium': 18, 'high': 5}",3,3000000.0,6490819.791171832,2163606.5970572773,116.36065970572771,2610,26.1,189,0.07241379310344828,0.1258275556448252,0.004898620198600602,0.9318648941751256,0.9999949335872264,0.0,0.0,28.830719499994302
831197,medium_default,1000000.0,1000000.0,1.0,100,fl_rl,FedAvg (federated),"{'none': 77, 'medium': 18, 'high': 5}",3,3000000.0,8171863.944824322,2723954.648274774,172.39546482747744,3052,30.52,126,0.04128440366972477,0.08434814384830518,0.0027423084524120737,0.9734491046009671,0.9999934033180468,0.0,0.0,33.43742750000092
831197,high_default,1000000.0,1000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 64, 'medium': 26, 'high': 10}",3,3000000.0,6686299.71327151,2228766.571090503,122.87665710905031,2595,25.95,209,0.08053949903660887,0.1867240165151845,0.007130734868077632,0.9475847211794992,0.999998800786554,0.0,0.0,28.226164299994707
831197,high_default,1000000.0,1000000.0,1.0,100,fl_rl,FedAvg (federated),"{'none': 64, 'medium': 26, 'high': 10}",3,3000000.0,7375401.14913301,2458467.0497110034,145.84670497110034,2756,27.56,203,0.07365747460087083,0.18250777719357583,0.006448592253375295,0.9696989221268376,0.9999983725829805,0.0,0.0,29.189569000009215
831197,none_default,5000000.0,5000000.0,1.0,100,rl,Isolated RL (non-federated),{'none': 100},3,15000000.0,34721704.96926683,11573901.656422278,131.4780331284456,11282,112.82,0,0.0,0.0,0.0,0.8560824652794039,0.9999980686805698,0.0,0.0,159.05549130000873
831197,none_default,5000000.0,5000000.0,1.0,100,fl_rl,FedAvg (federated),{'none': 100},3,15000000.0,35559559.519017674,11853186.506339224,137.0637301267845,11467,114.67,0,0.0,0.0,0.0,0.8666635332747775,0.9999963600918004,0.0,0.0,164.4980712000106
831197,low_default,5000000.0,5000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 87, 'medium': 10, 'high': 3}",3,15000000.0,30914319.483614933,10304773.161204977,106.09546322409956,9130,91.3,287,0.03143483023001095,0.03701719923621973,0.001751694898137639,0.779691855154,0.9999985738505692,0.0,0.0,125.88712769999984
831197,low_default,5000000.0,5000000.0,1.0,100,fl_rl,FedAvg (federated),"{'none': 87, 'medium': 10, 'high': 3}",3,15000000.0,29321549.736901768,9773849.912300589,95.47699824601176,8749,87.49,244,0.027888901588753002,0.031808638192253075,0.0015669284994499946,0.7528868265679095,0.999997230423598,0.0,0.0,122.41090600000462
831197,medium_default,5000000.0,5000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 77, 'medium': 18, 'high': 5}",3,15000000.0,29459299.182962373,9819766.394320792,96.39532788641581,9105,91.05,861,0.09456342668863262,0.1324184686761682,0.006311275071983093,0.7975510400722438,0.9999990810244423,0.0,0.0,130.19596479999018
