financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,scaffold_lr,scaffold_level,seed,default_scenario,capital_per_financier,borrower_count
Fin_rl_2,pure_rl,rl,5406380.05849505,5000000.0,5406380.058494886,406380.0584948864,0.0,0.0,7.0,0.0,888,888,129,0.1452702702702702,30820135.70304531,198290.1661944252,0.0064337862787162,0.039658033238885,0,2263,0.25,0p25,436570,low_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5596865.160896979,5000000.0,5596865.160898558,596865.1608985579,0.0,0.0,9.0,0.0,1044,1044,52,0.0498084291187739,36403832.0638789,96587.55297226387,0.0026532248803581,0.0193175105944527,0,2263,0.25,0p25,436570,low_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5445032.197747064,5000000.0,5445032.1977471765,445032.1977471765,0.0,0.0,6.0,0.0,979,979,138,0.1409601634320735,34445355.63358714,231385.23631857912,0.0067174581902983,0.0462770472637158,0,2263,0.25,0p25,436570,low_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5161996.694189046,5000000.0,5161996.694188527,161996.69418852683,0.0,0.0,6.0,0.0,537,537,164,0.3054003724394786,18565258.342670985,271281.17473600537,0.014612302706959,0.054256234947201,0,2263,0.25,0p25,436570,low_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6191569.049046112,5000000.0,6191569.0490467,1191569.0490467,0.0,0.0,6.0,0.0,2174,2174,117,0.0538178472861085,75982637.37908326,180809.4367645098,0.0023796151726405,0.0361618873529019,0,2263,0.25,0p25,436570,low_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5173014.86972712,5000000.0,5173014.869727656,173014.86972765625,0.0,0.0,12.0,0.0,428,428,89,0.2079439252336448,14740996.232033003,140544.57448331386,0.0095342656813046,0.0281089148966627,0,2291,0.25,0p25,831197,low_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5712994.633952349,5000000.0,5712994.633951739,712994.6339517394,0.0,0.0,12.0,0.0,1685,1685,280,0.1661721068249258,59011245.86302328,439409.9299885814,0.00744620662659,0.0878819859977162,0,2291,0.25,0p25,831197,low_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5360442.087636374,5000000.0,5360442.087635845,360442.08763584495,0.0,0.0,14.0,0.0,530,530,23,0.0433962264150943,18880177.822355315,47479.74329412442,0.0025147932260418,0.0094959486588248,0,2291,0.25,0p25,831197,low_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5583306.859651192,5000000.0,5583306.8596517,583306.8596516997,0.0,0.0,8.0,0.0,1085,1085,73,0.0672811059907834,37453904.61943314,104493.65515543715,0.0027899268772425,0.0208987310310874,0,2291,0.25,0p25,831197,low_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5439492.969362803,5000000.0,5439492.969363109,439492.9693631092,0.0,0.0,10.0,0.0,1062,1062,226,0.2128060263653484,36961400.67583613,320286.6137420528,0.0086654349641961,0.0640573227484105,0,2291,0.25,0p25,831197,low_default,5000000.0,50
