seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,wholesaler_policy,label,shock_profile_counts,financiers,total_initial_capital,total_final_capital,mean_final_capital,return_pct,total_loans,loans_per_wholesaler,total_defaults,default_count_rate,default_amount_to_initial_capital_rate,default_amount_to_issued_rate,avg_capital_utilization,max_capital_utilization,avg_final_utilization,max_final_utilization
436570,medium_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,30000000.0,46813966.01663302,15604655.338877672,56.046553388776715,9096,181.92,422,0.04639401934916447,0.03439853690814348,0.0032402451254151796,0.2404623596793769,0.5908237508722775,0.0,0.0
436570,high_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,30000000.0,42842198.72385907,14280732.907953024,42.807329079530234,8579,171.58,595,0.06935540272759062,0.0579276502441319,0.005787191792529605,0.23518820041068098,0.5423050277519764,0.0,0.0
436570,high_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,30000000.0,42984010.8780303,14328003.6260101,43.280036260100985,8908,178.16,615,0.06903906600808263,0.06081448169080295,0.005844078338955929,0.24706591956149562,0.5579117990042889,0.0,0.0
831197,none_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,3000000.0,18357674.960033495,6119224.986677832,511.9224986677832,8502,170.04,0,0.0,0.0,0.0,0.906910818397446,0.9999984456309392,0.0,0.0
831197,none_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,3000000.0,17251609.747260787,5750536.5824202625,475.05365824202624,8782,175.64,0,0.0,0.0,0.0,0.9365294975244426,0.9999978570218006,0.0,0.0
831197,low_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,17312469.76795546,5770823.255985153,477.08232559851535,7555,151.1,313,0.0414295168762409,0.19985251967803203,0.0023503165584695717,0.8376938725282185,0.9999999678525826,0.0,0.0
831197,low_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,16124254.286794303,5374751.428931435,437.47514289314347,7031,140.62,93,0.013227136964869862,0.06365620984730379,0.0008108277777840481,0.8259840483789639,0.9999982982896909,0.0,0.0
831197,medium_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,15614242.080576153,5204747.360192051,420.4747360192052,7281,145.62,277,0.03804422469441011,0.22218992940893584,0.0027052522146253965,0.8689676705848648,0.9999934430954236,0.0,0.0
831197,medium_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,16813058.189053386,5604352.729684462,460.43527296844616,6688,133.76,236,0.035287081339712915,0.18866588832243097,0.0024823903621400147,0.7837047011323166,0.9999855839442108,0.0,0.0
831197,high_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,13888299.830825236,4629433.276941746,362.9433276941745,6089,121.78,263,0.043192642470027916,0.2278337566765962,0.0033144563511096534,0.8193429733964207,0.9999930979960265,0.0,0.0
